artistName,tags,hoursPlayed
Ms* Gloom,"pop, electropop, electroclash, electronic, epic collage",0.12343666666666667
Metro Boomin,"trap, rap, hip-hop, hip hop, southern hip hop",0.12338472222222223
Death In June,"neofolk, dark folk, apocalyptic folk, industrial, experimental",0.12295555555555555
Tilden Parc,"rap, hip hop, rnb, hip-hop, alternative rnb",0.12271916666666667
The Animals,"classic rock, 60s, rock, british, oldies",0.122205
jacal,"midwest emo, instrumental, indie, rock, alternative",0.12168055555555556
ESP,"psytrance, psychedelic trance, goa, heavy metal, trance",0.12152388888888889
scarycide,"horrorcore, trap, witch house, cloud rap, plugg",0.11951611111111111
Kavinsky,"electronic, electro, french, dance, synthwave",0.11901472222222222
Kalben,"acoustic, folk, singer-songwriter, turk, turkce",0.11878444444444444
Xavier Wulf,"cloud rap, hip-hop, rap, truth, dicksucker",0.11804444444444444
Ye,"progressive rock, classic rock, rock, british, progressive",0.11797805555555556
The Radio Dept.,"shoegaze, indie, swedish, indie pop, electronic",0.11765888888888888
Cocteau Twins,"dream pop, shoegaze, post-punk, ethereal, alternative",0.11489055555555555
Vialice,"cloud rap, noise pop, united states, experimental hip hop, emo rap",0.11456833333333333
Sodaboy64,"incelcore, garage rock, rock, punk, noise rock",0.11419694444444445
dreamloader,sextrance,0.11317944444444444
Candy Claws,"dream pop, shoegaze, psychedelic, experimental, tropical",0.11317222222222222
Sematary Archive,"horrorcore, trap, witch house, chicago drill, cloud rap",0.11235305555555555
Skybreak,"dubstep, electronic, melodic dubstep, usa, colour bass",0.11230638888888889
Beck,"alternative, indie, singer-songwriter, rock, indie rock",0.11119666666666667
michi,"j-pop, japanese, electronic, female vocalists, pop",0.11049777777777778
JAWNY,"lo-fi, indie pop, bedroom pop, indie, slacker rock",0.10964416666666667
Lime Cordiale,"indie, australian, indie pop, indie rock, australia",0.10905694444444444
9thgrador,,0.10849416666666667
George Clanton,"chillwave, synthpop, hypnagogic pop, electronic, vaporwave",0.10578694444444445
underscores,"hyperpop, indie pop, electronic, indietronica, indie rock",0.10529722222222222
TOOL,"progressive metal, progressive rock, alternative, metal, rock",0.10361666666666666
Gloria Gaynor,"disco, 70s, soul, female vocalists, pop",0.10349083333333334
My Chemical Romance,"rock, alternative, punk rock, emo, punk",0.10289861111111111
BROCKHAMPTON,"hip-hop, rap, hip hop, pop rap, experimental hip hop",0.1022138888888889
Sun Araw,"psychedelic, drone, experimental, psychedelic rock, tropical",0.10179444444444445
Steakfry,"garage rock, stoner rock, psychedelic rock, incelcore, slacker rock",0.10008166666666667
MISOGI,"electronic, ambient, trap, trillwave, beats",0.10005166666666666
ohsah,,0.09931666666666666
Nachtmahr,"industrial, ebm, dark electro, german, black metal",0.09885916666666666
Young Thug,"hip-hop, trap, rap, atlanta, hip hop",0.09882944444444444
KC & The Sunshine Band,,0.0985375
Dawid Podsiadło,"polish, indie, folk, rock, pop",0.09682583333333333
ESPRIT 空想,"vaporwave, chillwave, electronic, seapunk, eletronic",0.09576388888888888
FEVER 333,"rapcore, post-hardcore, alternative metal, rock, rap rock",0.09575166666666667
Musical Youth,"reggae, 80s, british, pop, reggae-pop",0.09466777777777778
You'll Never Get to Heaven,"dream pop, lo-fi, ambient pop, ambient, electronic",0.09250416666666667
Kylie Minogue,"pop, dance, female vocalists, australian, electronic",0.09237027777777777
Lebres de Março,"neofolk, apocalyptic folk, brazil, folk, n4z1",0.0919825
Portugal. The Man,"experimental, indie, indie rock, progressive, rock",0.09069611111111112
Nathalie Cardone,"french, female vocalists, pop, latin, che",0.0900838888888889
Katy Perry,"pop, female vocalists, pop rock, indie, rock",0.09003916666666667
Jay Rock,"hip-hop, rap, gangsta rap, west coast, west coast rap",0.08981138888888889
Oli XL,"idm, experimental, deconstructed club, ambient, bass",0.08941777777777778
Kyle Richh,"drill, rap, jersey club, hip-hop, new york",0.0893375
Jenny Rom,"eurodance, dance, eurobeat, dancemania, bubblegum",0.08917805555555555
